"","STATE","COUNTY","cases","lat","lon","check"
"209","IA","CLAYTON",1,33.518505,-84.337523,"CLAYTON"
"210","IA","CLINTON",1,41.9604,-90.636408,"CLINTON"
"211","IA","DUBUQUE",1,42.458876,-90.877135,"DUBUQUE"
"212","IA","GREENE",1,32.737366,-87.967724,"GREENE"
"213","IA","JOHNSON",1,35.473886,-93.516564,"JOHNSON"
"214","IA","JONES",1,32.991607,-83.567362,"JONES"
"215","IA","LINN",3,42.157086,-91.645825,"LINN"
"216","IA","MARSHALL",2,34.393855,-86.365403,"MARSHALL"
"217","IA","POCAHONTAS",1,42.646211,-94.797046,"POCAHONTAS"
"218","IA","POLK",3,34.537164,-94.0972,"POLK"
"219","IA","SCOTT",1,34.882558,-94.079724,"SCOTT"
"220","IA","SIOUX",1,43.03801,-95.970314,"SIOUX"
"221","IA","WAPELLO",1,41.030933,-92.409827,"WAPELLO"
"222","IA","WEBSTER",2,32.076133,-84.543517,"WEBSTER"
"223","IA","WOODBURY",1,42.336668,-95.962495,"WOODBURY"
"224","ID","ADA",2,43.735179,-116.41033,"ADA"
"225","ID","BINGHAM",1,43.033131,-112.428535,"BINGHAM"
"226","ID","BONNER",1,48.274708,-116.604444,"BONNER"
"227","ID","CANYON",2,43.630795,-116.717598,"CANYON"
"228","ID","ELMORE",1,32.505625,-86.332245,"ELMORE"
"229","ID","JEROME",1,42.586804,-114.246706,"JEROME"
"230","ID","NEZ PERCE",2,46.3646,-116.860852,"NEZ PERCE"
"231","ID","TWIN FALLS",1,42.443224,-114.629497,"TWIN FALLS"
"232","IL","BROWN",1,39.978147,-90.756924,"BROWN"
"233","IL","CHAMPAIGN",2,40.370897,-88.152546,"CHAMPAIGN"
"234","IL","CHRISTIAN",1,39.37433,-89.198256,"CHRISTIAN"
"235","IL","COOK",33,31.151742,-83.407143,"COOK"
"236","IL","CRAWFORD",2,35.479157,-94.193334,"CRAWFORD"
"237","IL","DU PAGE",7,41.887579,-88.022516,"DU PAGE"
"238","IL","EFFINGHAM",2,32.488015,-81.322392,"EFFINGHAM"
"239","IL","JEFFERSON",1,33.578097,-86.987228,"JEFFERSON"
"240","IL","JERSEY",2,39.07267,-90.254596,"JERSEY"
"241","IL","JO DAVIESS",1,42.454161,-90.118471,"JO DAVIESS"
"242","IL","KANE",8,42.045792,-88.539027,"KANE"
"243","IL","KANKAKEE",2,41.111151,-87.874618,"KANKAKEE"
"244","IL","KENDALL",2,41.698414,-88.427873,"KENDALL"
"245","IL","LA SALLE",1,41.172532,-88.663755,"LA SALLE"
"246","IL","LAKE",2,38.946476,-122.657017,"LAKE"
"247","IL","MARION",1,34.16493,-87.739592,"MARION"
"248","IL","MASON",2,40.305929,-89.8716,"MASON"
"249","IL","MC HENRY",3,42.303999,-88.401604,"MC HENRY"
"250","IL","MC LEAN",2,40.462041,-88.850396,"MC LEAN"
"251","IL","OGLE",1,41.931158,-88.956564,"OGLE"
"252","IL","PEORIA",1,40.938808,-89.889949,"PEORIA"
"253","IL","ROCK ISLAND",1,41.495083,-90.604899,"ROCK ISLAND"
"254","IL","SALINE",1,34.509071,-92.482828,"SALINE"
"255","IL","SANGAMON",1,39.849893,-89.387944,"SANGAMON"
"256","IL","ST. CLAIR",2,33.603543,-86.466833,"ST. CLAIR"
"257","IL","TAZEWELL",2,40.425189,-89.62064,"TAZEWELL"
"258","IL","VERMILION",1,40.344417,-87.701583,"VERMILION"
"259","IL","WHITESIDE",1,41.786534,-89.761042,"WHITESIDE"
"260","IL","WILL",4,41.356872,-87.626723,"WILL"
"261","IL","WILLIAMSON",1,37.80308,-89.009201,"WILLIAMSON"
"262","IL","WINNEBAGO",5,43.37731,-93.803062,"WINNEBAGO"
"263","IN","ADAMS",1,39.788286,-104.822765,"ADAMS"
"264","IN","ALLEN",2,41.103797,-85.292474,"ALLEN"
"265","IN","CLARK",1,34.055486,-93.189406,"CLARK"
"266","IN","DUBOIS",1,38.326772,-86.820726,"DUBOIS"
"267","IN","FLOYD",4,34.479253,-85.149208,"FLOYD"
"268","IN","FOUNTAIN",1,40.240204,-87.213921,"FOUNTAIN"
"269","IN","GRANT",1,34.152591,-92.304314,"GRANT"
"270","IN","HAMILTON",2,30.495814,-82.985428,"HAMILTON"
"271","IN","HOWARD",1,34.136218,-94.044286,"HOWARD"
"272","IN","HUNTINGTON",2,40.820278,-85.597862,"HUNTINGTON"
